asset,                      identity,       driver,     path,                                                                   index,              region,         endpoint
icesat2,                    nsidc-cloud,    cumulus,    nsidc-cumulus-prod-protected,                                           nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
icesat2-atl06,              nsidc-cloud,    cumulus,    nsidc-cumulus-prod-protected,                                           nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
icesat2-atl08,              nsidc-cloud,    cumulus,    nsidc-cumulus-prod-protected,                                           nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
icesat2-atl09,              nsidc-cloud,    cumulus,    nsidc-cumulus-prod-protected,                                           nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
icesat2-atl13,              nsidc-cloud,    s3atl13,    nsidc-cumulus-prod-protected,                                           nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
gedil4a,                    ornl-cloud,     s3,         ornl-cumulus-prod-protected/gedi/GEDI_L4A_AGB_Density_V2_1/data,        nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
gedil4b,                    ornl-cloud,     s3,         /vsis3/ornl-cumulus-prod-protected/gedi/GEDI_L4B_Gridded_Biomass_V2_1/data,    GEDI04_B_MW019MW223_02_002_02_R01000M_V2.tif,              us-west-2, https://s3.us-west-2.amazonaws.com
gedil3-elevation,           ornl-cloud,     s3,         /vsis3/ornl-cumulus-prod-protected/gedi/GEDI_L3_LandSurface_Metrics_V2/data,   GEDI03_elev_lowestmode_mean_2019108_2022019_002_03.tif,    us-west-2, https://s3.us-west-2.amazonaws.com
gedil3-canopy,              ornl-cloud,     s3,         /vsis3/ornl-cumulus-prod-protected/gedi/GEDI_L3_LandSurface_Metrics_V2/data,   GEDI03_rh100_mean_2019108_2022019_002_03.tif,              us-west-2, https://s3.us-west-2.amazonaws.com
gedil3-elevation-stddev,    ornl-cloud,     s3,         /vsis3/ornl-cumulus-prod-protected/gedi/GEDI_L3_LandSurface_Metrics_V2/data,   GEDI03_elev_lowestmode_stddev_2019108_2022019_002_03.tif,  us-west-2, https://s3.us-west-2.amazonaws.com
gedil3-canopy-stddev,       ornl-cloud,     s3,         /vsis3/ornl-cumulus-prod-protected/gedi/GEDI_L3_LandSurface_Metrics_V2/data,   GEDI03_rh100_stddev_2019108_2022019_002_03.tif,            us-west-2, https://s3.us-west-2.amazonaws.com
gedil3-counts,              ornl-cloud,     s3,         /vsis3/ornl-cumulus-prod-protected/gedi/GEDI_L3_LandSurface_Metrics_V2/data,   GEDI03_counts_2019108_2022019_002_03.tif,                  us-west-2, https://s3.us-west-2.amazonaws.com
gedil2a,                    lpdaac-cloud,   s3gedi,     lp-prod-protected,                                                      nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
gedil1b,                    lpdaac-cloud,   s3gedi,     lp-prod-protected,                                                      nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
merit-dem,                  iam-role,       s3,         sliderule/data/MERIT,                                                   nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
swot-sim-ecco-llc4320,      podaac-cloud,   s3,         podaac-ops-cumulus-protected/SWOT_SIMULATED_L2_KARIN_SSH_ECCO_LLC4320_CALVAL_V1, nil,       us-west-2,      https://s3.us-west-2.amazonaws.com
swot-sim-glorys,            podaac-cloud,   s3,         podaac-ops-cumulus-protected/SWOT_SIMULATED_L2_KARIN_SSH_GLORYS_CALVAL_V1, nil,             us-west-2,      https://s3.us-west-2.amazonaws.com
usgs3dep-1meter-dem,        nil,            nil,        /vsis3/prd-tnm,                                                         nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
esa-worldcover-10meter,     nil,            nil,        /vsis3/esa-worldcover/v200/2021/map,                                    /vsis3/sliderule/data/WORLDCOVER/ESA_WorldCover_10m_2021_v200_Map.vrt,     eu-central-1,  https://s3.eu-central-1.amazonaws.com
meta-globalcanopy-1meter,   nil,            nil,        /vsis3/dataforgood-fb-data/forests/v1/alsgedi_global_v6_float/,         /vsis3/sliderule/data/GLOBALCANOPY/META_GlobalCanopyHeight_1m_2024_v1.vrt, us-east-1,     https://s3.us-east-1.amazonaws.com
gebco-bathy,                iam-role,       s3,         sliderule/data/GEBCO/2023,                                              index.geojson,      us-west-2,      https://s3.us-west-2.amazonaws.com
bluetopo-bathy,             iam-role,       s3,         /vsis3/noaa-ocs-nationalbathymetry-pds/BlueTopo/,                       _BlueTopo_Tile_Scheme, us-east-1,   https://s3.us-east-1.amazonaws.com
landsat-hls,                lpdaac-cloud,   nil,        /vsis3/lp-prod-protected,                                               nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
arcticdem-mosaic,           nil,            nil,        /vsis3/pgc-opendata-dems/arcticdem/mosaics/v4.1,                        2m_dem_tiles.vrt,   us-west-2,      https://s3.us-west-2.amazonaws.com
arcticdem-strips,           nil,            nil,        /vsis3/pgc-opendata-dems/arcticdem/strips/s2s041/2m,                    nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
rema-mosaic,                nil,            nil,        /vsis3/pgc-opendata-dems/rema/mosaics/v2.0/2m,                          2m_dem_tiles.vrt,   us-west-2,      https://s3.us-west-2.amazonaws.com
rema-strips,                nil,            nil,        /vsis3/pgc-opendata-dems/rema/strips/s2s041/2m,                         nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
atlas-local,                local,          file,       /data/ATLAS,                                                            nil,                local,          local
gedi-local,                 local,          file,       /data/GEDI,                                                             nil,                local,          local
swot-local,                 nil,            file,       /data/SWOT,                                                             nil,                local,          local
atlas-s3,                   iam-role,       s3,         sliderule/data/ATLAS,                                                   nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
nsidc-s3,                   nsidc-cloud,    cumulus,    nsidc-cumulus-prod-protected,                                           nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
swot-s3,                    iam-role,       s3,         sliderule/data/SWOT,                                                    nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
viirsj1-s3,                 iam-role,       s3,         sliderule/data/VIIRSJ1,                                                 nil,                us-west-2,      https://s3.us-west-2.amazonaws.com
sliderule-stage,            iam-role,       s3,         sliderule-public,                                                       nil,                us-west-2,      https://s3.us-west-2.amazonaws.com